verbatim,diagnosis,comment,verbatim_trans_fr,diagnosis_trans_fr,comment_trans_fr,text,ce
Kan ikke forbinde telefonen,phone does not work,no error code,Impossible de connecter le téléphone,le téléphone ne fonctionne pas,pas de code d'erreur,Impossible de connecter le téléphone. le téléphone ne fonctionne pas. pas de code d'erreur,marshmallow issue
skerm /radio/navi er sort,Sk‘rm er i sort,D†rlig programering,skerm radionavi er sort,L'écran est en noir,Mauvaise programmation,skerm radionavi er sort. L'écran est en noir. Mauvaise programmation,black screen
PHONE NOT CONNECTING TO BLUETOOTH,CARRY OUT RECOMMENDED UPDATE,UPDATE NAV SYSTEM,LE TÉLÉPHONE NE SE CONNECTE PAS AU BLUETOOTH,EFFECTUER LA MISE À JOUR RECOMMANDÉE,METTRE À JOUR LE SYSTÈME DE NAVIGATION,LE TÉLÉPHONE NE SE CONNECTE PAS AU BLUETOOTH. EFFECTUER LA MISE À JOUR RECOMMANDÉE. METTRE À JOUR LE SYSTÈME DE NAVIGATION,update issue
CHECK PHONE NOT CONNECTING TO BLUETOOTH,R/LINK SOFTWARE ERROR,UPDATE SOFTWARE - OK,VÉRIFIER QUE LE TÉLÉPHONE NE SE CONNECTE PAS AU BLUETOOTH,ERREUR DU LOGICIEL RLINK,METTRE À JOUR LE LOGICIEL - OK,VÉRIFIER QUE LE TÉLÉPHONE NE SE CONNECTE PAS AU BLUETOOTH. ERREUR DU LOGICIEL RLINK. METTRE À JOUR LE LOGICIEL - OK,update issue
CHECK NO PHONE BLUETOOTH CONNECTION,CARRY OUT CHECKS FINDING NAVIGATION SOFTWARE NEEDING UPDATE,UPDATE SOFTWARE - TEST - OK,VÉRIFIER L'ABSENCE DE CONNEXION BLUETOOTH DU TÉLÉPHONE,EFFECTUER DES VÉRIFICATIONS TROUVER LE LOGICIEL DE NAVIGATION À METTRE À JOUR,MISE A JOUR LOGICIEL - TEST - OK,VÉRIFIER L'ABSENCE DE CONNEXION BLUETOOTH DU TÉLÉPHONE. EFFECTUER DES VÉRIFICATIONS TROUVER LE LOGICIEL DE NAVIGATION À METTRE À JOUR. MISE A JOUR LOGICIEL - TEST - OK,update issue
schermo r-link non si accende dopo aver premuto il tasto accensione,Sost.schermo r-link,si illumina dando dei colpi sul cruscotto.,L'écran r-link ne s'allume pas après avoir appuyé sur le bouton d'alimentation,Remplacer l'écran r-link,il s'allume en frappant le tableau de bord.,L'écran r-link ne s'allume pas après avoir appuyé sur le bouton d'alimentation. Remplacer l'écran r-link. il s'allume en frappant le tableau de bord.,display issue
CHECK R LINK SCREEN NOT SHOWING ANY DISPLAY & UNABLE TO USE R-LINK,CARRIED OUT SOFTWARE UPDATE & AUTO CONFIGURATION,"CONFIRMED FAULT, SEARCHED ACTIS SOLUTION & FOUND SOLUTION 11156 REPROGRAMME OF R",VÉRIFIEZ L'ÉCRAN R LINK N'AFFICHANT AUCUN AFFICHAGE ET IMPOSSIBLE D'UTILISER R-LINK,EFFECTUER LA MISE À JOUR DU LOGICIEL ET LA CONFIGURATION AUTOMATIQUE,"DEFAUT CONFIRME, SOLUTION ACTIS RECHERCHEE & SOLUTION TROUVEE 11156 REPROGRAMME DE R","VÉRIFIEZ L'ÉCRAN R LINK N'AFFICHANT AUCUN AFFICHAGE ET IMPOSSIBLE D'UTILISER R-LINK. EFFECTUER LA MISE À JOUR DU LOGICIEL ET LA CONFIGURATION AUTOMATIQUE. DEFAUT CONFIRME, SOLUTION ACTIS RECHERCHEE & SOLUTION TROUVEE 11156 REPROGRAMME DE R",update issue
L'R-LINK NON SI ACCENDE (SPORADICO),AGGIORNAM DEL SOFTW DEL SISTEMA MULTIMEDIALE,SOLUZIONE TECNICA COME DA INFOTECA,R-LINK NE S'ALLUME PAS (SPORADIQUE),MISE À JOUR DU LOGICIEL DU SYSTÈME MULTIMÉDIA,SOLUTION TECHNIQUE À PARTIR DE L'INFOTECA,R-LINK NE S'ALLUME PAS (SPORADIQUE). MISE À JOUR DU LOGICIEL DU SYSTÈME MULTIMÉDIA. SOLUTION TECHNIQUE À PARTIR DE L'INFOTECA,black screen
##,Instrumententafel l„sst sich nicht einstellen Programmierung notwendig,##,##,Le tableau de bord ne s'ajuste pas Programmation requise,##,##. Le tableau de bord ne s'ajuste pas Programmation requise. ##,wrong designation
Meadia unit appears blank,Traced to internal fault with media nav unit as per Actis sol 10838,Replaced media nav unit and retested to confirm repair,L'unité multimédia apparaît vide,Retracé à un défaut interne avec l'unité de navigation multimédia selon Actis sol 10838,Unité de navigation multimédia remplacée et retestée pour confirmer la réparation,L'unité multimédia apparaît vide. Retracé à un défaut interne avec l'unité de navigation multimédia selon Actis sol 10838. Unité de navigation multimédia remplacée et retestée pour confirmer la réparation,radnav doesn't work
ACTUALIZAR SOFTWARE R-LINK,CONTROL VERSION Y REPROGRAMAR RADIO-NAVEGACION  (ACTIS 10888) SEGUN FLASH DIAGNOST JUNIO 2016,CODECAL RADIO: J4BZQ0 // OP 7749 POR REPROGRAMAR RADIO / 0311 POR DIAGNOST + COM,METTRE À JOUR LE LOGICIEL R-LINK,CONTROLE DE VERSION ET REPROGRAMMATION RADIO-NAVIGATION (ACTIS 10888) SELON FLASH DIAGNOST JUIN 2016,RADIO CODECAL : J4BZQ0 OP 7749 EN REPROGRAMMANT LA RADIO 0311 PAR DIAGNOST + COM,METTRE À JOUR LE LOGICIEL R-LINK. CONTROLE DE VERSION ET REPROGRAMMATION RADIO-NAVIGATION (ACTIS 10888) SELON FLASH DIAGNOST JUIN 2016. RADIO CODECAL : J4BZQ0 OP 7749 EN REPROGRAMMANT LA RADIO 0311 PAR DIAGNOST + COM,update issue
ACTUALIZAR R-LINK2,CONTROL VERSION Y REPROGRAMAR RADIO-NAVEGACION  (ACTIS 10888) SEGUN FLASH DIAGNOST JUNIO 2016,CODECAL RADIO: JUA606 // NO NECESARIO ABRIR SEGUN IT /  OP 7749 POR REPROGRA,MISE À JOUR R-LINK2,CONTROLE DE VERSION ET REPROGRAMMATION RADIO-NAVIGATION (ACTIS 10888) SELON FLASH DIAGNOST JUIN 2016,RADIO CODECAL : JUA606 PAS BESOIN D'OUVRIR SELON IL OP 7749 EN RAISON DE REPROGRAMMER,MISE À JOUR R-LINK2. CONTROLE DE VERSION ET REPROGRAMMATION RADIO-NAVIGATION (ACTIS 10888) SELON FLASH DIAGNOST JUIN 2016. RADIO CODECAL : JUA606 PAS BESOIN D'OUVRIR SELON IL OP 7749 EN RAISON DE REPROGRAMMER,update issue
display blank,Checked & found radio freezing and unable to use touch screen. Requires new -,"display blank - radio unit. Removed dash to fit new radio unit, refitted dash &",affichage vide,Vérifié et trouvé le gel de la radio et incapable d'utiliser l'écran tactile. Nécessite nouveau -,"affichage vierge - unité radio. Tableau de bord supprimé pour s'adapter à la nouvelle unité radio, tableau de bord réaménagé et","affichage vide. Vérifié et trouvé le gel de la radio et incapable d'utiliser l'écran tactile. Nécessite nouveau -. affichage vierge - unité radio. Tableau de bord supprimé pour s'adapter à la nouvelle unité radio, tableau de bord réaménagé et",loss of tactil function on screen
PAS DE FONCTIONN DES SERVICES CONNECTES R LINK (VEH NEUF 1 SEMAINE ),##,DEFAUT DE MISE A JOUR,PAS DE FONCTIONN DES SERVICES CONNECTES R LINK (VEH NEUF 1 SEMAINE ),##,DEFAUT DE MISE A JOUR,PAS DE FONCTIONN DES SERVICES CONNECTES R LINK (VEH NEUF 1 SEMAINE ). ##. DEFAUT DE MISE A JOUR,connectivity issue
A VECES NO RESPONDE LA PANTALLA. SE QUEDA BLOQUEADA,FIC-1-MWADG3-PERMUTAR PANTALLAS ENTRE VEHICULOS Y CONFIGURACIONES,FIC-1-MWADG3-PERMUTAR PANTALLAS ENTRE VEHICULOS Y CONFIGURACIONES,"PARFOIS, L'ÉCRAN NE RÉPOND PAS. RESTE BLOQUE",FIC-1-MWADG3-ÉCRANS D'ÉCHANGE ENTRE VÉHICULES ET CONFIGURATIONS,FIC-1-MWADG3-ÉCRANS D'ÉCHANGE ENTRE VÉHICULES ET CONFIGURATIONS,"PARFOIS, L'ÉCRAN NE RÉPOND PAS. RESTE BLOQUE. FIC-1-MWADG3-ÉCRANS D'ÉCHANGE ENTRE VÉHICULES ET CONFIGURATIONS. FIC-1-MWADG3-ÉCRANS D'ÉCHANGE ENTRE VÉHICULES ET CONFIGURATIONS",loss of tactil function on screen
R-LINK UPDATE,UPDATE R-LINK AS PER TI2483,UPDATED R-LINK,MISE À JOUR R-LINK,METTRE À JOUR R-LINK SELON TI2483,R-LINK MISE À JOUR,MISE À JOUR R-LINK. METTRE À JOUR R-LINK SELON TI2483. R-LINK MISE À JOUR,update issue
VIBRATION HP D,VIBRATION EN UTILISANT LA RADIO,REMPLACEMENT DU HAUT PARLEUR,VIBRATIONS CV D,VIBRATION EN UTILISANT LA RADIO,REMPLACEMENT DU HAUT PARLEUR,VIBRATIONS CV D. VIBRATION EN UTILISANT LA RADIO. REMPLACEMENT DU HAUT PARLEUR,speaker issue
RADIO AND NAVIGATION SCREEN INOP,CONFIRMED FAULT SCREEN NOT LIGHTING UP. CHECKED FEEDS AND EARTHS ALL OK SCREEN REMAINS BLACK,TRACED TO INTERNAL RADIO FAULT. FITTED NEW RADIO REBUILT CONFIGURED TESTED NOW O,ECRAN RADIO ET NAVIGATION INOP.,L'ÉCRAN DE DÉFAUT CONFIRMÉ NE S'ALLUME PAS. ALIMENTATIONS ET MASSES VERIFIEES TOUS OK L'ECRAN RESTE NOIR,TRACÉ SUR DÉFAUT RADIO INTERNE. ÉQUIPÉ NOUVELLE RADIO RECONSTRUIT CONFIGURÉ TESTÉ MAINTENANT O,ECRAN RADIO ET NAVIGATION INOP. L'ÉCRAN DE DÉFAUT CONFIRMÉ NE S'ALLUME PAS. ALIMENTATIONS ET MASSES VERIFIEES TOUS OK L'ECRAN RESTE NOIR. TRACÉ SUR DÉFAUT RADIO INTERNE. ÉQUIPÉ NOUVELLE RADIO RECONSTRUIT CONFIGURÉ TESTÉ MAINTENANT O,radnav doesn't work
Fels”kning:R-link kopplar inte upp med bl†tand mot telefonen.,Typ av telefon:Samsung S5 tg„rd enligt l”sning 11023 samt 10888. Symptomkod I261,Fels”kning.omprogramering R-link enligt l”sning 10888. O.K efter rep,Dépannage : R-link ne se connecte pas avec une dent au téléphone.,Type de téléphone : Samsung S5 tg „rd selon la solution 11023 et 10888. Code de symptôme I261,"Erreur ""reprogrammation R-link selon la solution 10888. O.K après rep","Dépannage : R-link ne se connecte pas avec une dent au téléphone. Type de téléphone : Samsung S5 tg „rd selon la solution 11023 et 10888. Code de symptôme I261. Erreur ""reprogrammation R-link selon la solution 10888. O.K après rep",marshmallow issue
"R-link displayen svart, instrumentet „ndrar inst„llningar sj„lv.",Mjukvaruyuppdatering efter kontakt med Techline,Mjukvaruyuppdatering efter kontakt med Techline,"Affichage R-link noir, l'instrument modifie lui-même les paramètres.",Mise à jour du logiciel après contact avec la Techline,Mise à jour du logiciel après contact avec la Techline,"Affichage R-link noir, l'instrument modifie lui-même les paramètres. Mise à jour du logiciel après contact avec la Techline. Mise à jour du logiciel après contact avec la Techline",black screen
Enl kund s† fungerar ej samsung telefonen kopplar ner hela tiden,Koll felkoder prov att koppla in telefon g†r ej,Omprog R-link,Selon le client † ne fonctionne pas le téléphone samsung se déconnecte tout le temps,Vérifiez le test des codes d'erreur pour connecter le téléphone ne fonctionne pas,Omprog R-link,Selon le client † ne fonctionne pas le téléphone samsung se déconnecte tout le temps. Vérifiez le test des codes d'erreur pour connecter le téléphone ne fonctionne pas. Omprog R-link,marshmallow issue
Byte av display d† touchen slutade fungera ibland,##,ok efter byte sk„rm,Changer l'affichage lorsque le toucher a cessé de fonctionner parfois,##,ok après changement d'écran,Changer l'affichage lorsque le toucher a cessé de fonctionner parfois. ##. ok après changement d'écran,loss of tactil function on screen
Customer reports that Media Nav Screen gone totally blank,Disconnected battery and carried out reset procedure re configured media,"Check and confirm fault check screen condition all ok, req battery",Un client signale que l'écran Media Nav est devenu totalement vide,Batterie déconnectée et procédure de réinitialisation effectuée pour reconfigurer le support,"Vérifiez et confirmez l'état de l'écran de vérification des défauts tout est ok, batterie requise","Un client signale que l'écran Media Nav est devenu totalement vide. Batterie déconnectée et procédure de réinitialisation effectuée pour reconfigurer le support. Vérifiez et confirmez l'état de l'écran de vérification des défauts tout est ok, batterie requise",black screen
NO FUNCIONA GPS  TODO EL RATO BUSCA SE£AL SATELITE,"CLIP:NO FALLO.DESM.GUANTERA,Y COMPROBAMOS CABLEADO TCU:CONTROL VÖA 1 AL FUSIBLE F21 (260) Y MASA VÖA",DESM.TABLIER DE OTRO VEHÖCULO PARA MONTAR ANTENA Y COMPROBAR FUNCIONAMIENTO:YA F,LE GPS NE FONCTIONNE PAS TOUT LE TEMPS QU'IL RECHERCHE LE SIGNAL SATELLITE,"CLIP : PAS DE DÉFAUT, DÉMONTEZ LA BOÎTE À GANTS, ET NOUS VÉRIFIONS LE CÂBLAGE TCU : COMMANDE VOIE 1 VERS FUSIBLE F21 (260) ET VOIE DE TERRE",DEMONTER LE TABLEAU DE BORD D'UN AUTRE VEHICULE POUR MONTER L'ANTENNE ET VERIFIER LE FONCTIONNEMENT : ET F,"LE GPS NE FONCTIONNE PAS TOUT LE TEMPS QU'IL RECHERCHE LE SIGNAL SATELLITE. CLIP : PAS DE DÉFAUT, DÉMONTEZ LA BOÎTE À GANTS, ET NOUS VÉRIFIONS LE CÂBLAGE TCU : COMMANDE VOIE 1 VERS FUSIBLE F21 (260) ET VOIE DE TERRE. DEMONTER LE TABLEAU DE BORD D'UN AUTRE VEHICULE POUR MONTER L'ANTENNE ET VERIFIER LE FONCTIONNEMENT : ET F",antenna issue
CHECK AND REPORT ON VARIOUS ELECTRICAL ISSUES ON THE VEHICLE.  THE R-LINK SYSTEM,##,CHECK AND CONFIRMED THE R-LINK IS GOING BLANK REGULARLY AND PROCEED TO DIAGNOSE,VÉRIFIER ET SIGNALER DIVERS PROBLÈMES ÉLECTRIQUES SUR LE VÉHICULE. LE SYSTÈME R-LINK,##,VÉRIFIEZ ET CONFIRMEZ QUE LE R-LINK SE VIDE RÉGULIÈREMENT ET PROCÉDEZ AU DIAGNOSTIC,VÉRIFIER ET SIGNALER DIVERS PROBLÈMES ÉLECTRIQUES SUR LE VÉHICULE. LE SYSTÈME R-LINK. ##. VÉRIFIEZ ET CONFIRMEZ QUE LE R-LINK SE VIDE RÉGULIÈREMENT ET PROCÉDEZ AU DIAGNOSTIC,radnav doesn't work
Please fit new sat nav system,##,"Attend to sat nav loosing connection,",Veuillez installer un nouveau système de navigation par satellite,##,"Assistez à la perte de connexion de la navigation par satellite,","Veuillez installer un nouveau système de navigation par satellite. ##. Assistez à la perte de connexion de la navigation par satellite,",reception issue ( fm am dab gps)
CUSTOMER STATES: R-LINK UPDATE,CUSTOMER STATES: R-LINK UPDATE,CARRIED OUT R LINK UPDATE,ÉTATS CLIENTS : MISE À JOUR R-LINK,ÉTATS CLIENTS : MISE À JOUR R-LINK,EFFECTUER LA MISE À JOUR R LINK,ÉTATS CLIENTS : MISE À JOUR R-LINK. ÉTATS CLIENTS : MISE À JOUR R-LINK. EFFECTUER LA MISE À JOUR R LINK,update issue
CUSTOMER STATES: RLINK UPDATE,CUSTOMER STATES: RLINK UPDATE,R-LINK,ÉTATS CLIENTS : MISE À JOUR RLINK,ÉTATS CLIENTS : MISE À JOUR RLINK,R-LINK,ÉTATS CLIENTS : MISE À JOUR RLINK. ÉTATS CLIENTS : MISE À JOUR RLINK. R-LINK,update issue
STREAMING AUDIO BLUETOOTH NON VA,RIPROGRAMMAZIONE AUTOMATICA NAV,PROVA EFFETT. OK,STREAMING AUDIO BLUETOOTH NON VA,NAV DE REPROGRAMMATION AUTOMATIQUE,EFFET D'ESSAI. d'accord,STREAMING AUDIO BLUETOOTH NON VA. NAV DE REPROGRAMMATION AUTOMATIQUE. EFFET D'ESSAI. d'accord,bluetooth
AUTORADIO NON FUNZIONA CORRETTAMENTE    NAVIGATORE NN FUNZIONA,CALCOLATORE DI NAVIGAZIONE DA RIPROGRAMMARE,EFFETTUATA RIPROGRAMMAZIONE DEL         CALCOLATORE DI NAVIGAZIONE,LA RADIO NE FONCTIONNE PAS CORRECTEMENT LE NAVIGATEUR NN FONCTIONNE,CALCULATRICE DE NAVIGATION A REPROGRAMMER,REPROGRAMMATION EFFECTUÉE DU CALCULATEUR DE NAVIGATION,LA RADIO NE FONCTIONNE PAS CORRECTEMENT LE NAVIGATEUR NN FONCTIONNE. CALCULATRICE DE NAVIGATION A REPROGRAMMER. REPROGRAMMATION EFFECTUÉE DU CALCULATEUR DE NAVIGATION,loss of tactil function on screen
SCHERMO NAVIAGOTRE CON RIGHE,NAVIGATORE GUASTO,SOSTITUZIONE NAVIGATORE,ÉCRAN NAVIAGOTRE À RAYURES,NAVIGATEUR DÉFECTUEUX,REMPLACEMENT DU NAVIGATEUR,ÉCRAN NAVIAGOTRE À RAYURES. NAVIGATEUR DÉFECTUEUX. REMPLACEMENT DU NAVIGATEUR,display issue
NON SI SENTE LA CASSA RADIO ANT DX,NON SI SENTE LA CASSA RADIO ANT DX,CASSA AUDIO ANT DX NON EMETTE ALCUN SUONO,LE HAUT-PARLEUR RADIO AVANT DROIT N'EST PAS ENTENDU,LE HAUT-PARLEUR RADIO AVANT DROIT N'EST PAS ENTENDU,LE HAUT-PARLEUR ANT DX N'ÉMET AUCUN SON,LE HAUT-PARLEUR RADIO AVANT DROIT N'EST PAS ENTENDU. LE HAUT-PARLEUR RADIO AVANT DROIT N'EST PAS ENTENDU. LE HAUT-PARLEUR ANT DX N'ÉMET AUCUN SON,speaker issue
SI SCROSTA LA CORNICE DEL SISTEMA MULTIMEDIALE,SI SCROSTA LA CORNICE DEL SISTEMA MULTIMEDIALE,LA CONRNICE DEL SISTEMA MULTIMEDIALE PERDE TUTTA LA VERNICIATURA,LE CADRE DU SYSTÈME MULTIMÉDIA EST DÉPOSÉ,LE CADRE DU SYSTÈME MULTIMÉDIA EST DÉPOSÉ,LA CONNEXION DU SYSTÈME MULTIMÉDIA PERD TOUTE LA PEINTURE,LE CADRE DU SYSTÈME MULTIMÉDIA EST DÉPOSÉ. LE CADRE DU SYSTÈME MULTIMÉDIA EST DÉPOSÉ. LA CONNEXION DU SYSTÈME MULTIMÉDIA PERD TOUTE LA PEINTURE,wrong designation
SISTEMA MULTIMEDIALE SI SPENGE O DIVENTA NERO,SOST SCHERMO MULTIMEDIALE + RIPROG.  T (TEMPO DYALOGIS NON ESISTE),SOST SCHERMO MULTIMEDIALE + RIPROG.  T (TEMPO DYALOGIS NON ESISTE),LE SYSTÈME MULTIMÉDIA S'ÉTEINT OU PASSE AU NOIR,REMPLACER ÉCRAN MULTIMÉDIA + REPROG. T (TEMPS DYALOGIS N'EXISTE PAS),REMPLACER ÉCRAN MULTIMÉDIA + REPROG. T (TEMPS DYALOGIS N'EXISTE PAS),LE SYSTÈME MULTIMÉDIA S'ÉTEINT OU PASSE AU NOIR. REMPLACER ÉCRAN MULTIMÉDIA + REPROG. T (TEMPS DYALOGIS N'EXISTE PAS). REMPLACER ÉCRAN MULTIMÉDIA + REPROG. T (TEMPS DYALOGIS N'EXISTE PAS),display issue
C&R SAT NAV SCREEN BLANK I202,CONFIRMED COMPLAINT CARRY OUT CLIP TEST NO ACCESS TO RADIO/SAT NAV UNIT CHECK FEEDS/EARTHS ALL OK,INTERNAL FAILURE OF UNIT REQ'S REP'D REPLACED RADIO CAN NOT GET INTO COMPUTER TO,ÉCRAN NAVIGATION C&R BLANC I202,RÉCLAMATION CONFIRMÉE EFFECTUER LE TEST CLIP PAS D'ACCÈS À L'UNITÉ DE NAVIGATION RADIOSAT VÉRIFIER LES ALIMENTATIONS TOUS OK,DÉFAILLANCE INTERNE DE L'UNITÉ REPRÉSENTÉE LA RADIO REMPLACÉE NE PEUT PAS ACCÉDER À L'ORDINATEUR POUR,ÉCRAN NAVIGATION C&R BLANC I202. RÉCLAMATION CONFIRMÉE EFFECTUER LE TEST CLIP PAS D'ACCÈS À L'UNITÉ DE NAVIGATION RADIOSAT VÉRIFIER LES ALIMENTATIONS TOUS OK. DÉFAILLANCE INTERNE DE L'UNITÉ REPRÉSENTÉE LA RADIO REMPLACÉE NE PEUT PAS ACCÉDER À L'ORDINATEUR POUR,radnav doesn't work
REAR PARKING SENSORS INOPERATIVE.,UPDATE R LINK SOFTWARE TO 803. CARRY OUT AUTO CONFIGURATION. NOW OK.,CONFIRM FAULT. MENU FOR ADJUSTMENT OR R LINK GREYED OUT. CANNOT ADJUST. R LINK R,CAPTEURS DE STATIONNEMENT ARRIÈRE INOPÉRANTS.,METTRE À JOUR LE LOGICIEL R LINK VERS 803. EFFECTUER LA CONFIGURATION AUTOMATIQUE. MAINTENANT OK.,CONFIRMER LE DÉFAUT. MENU DE RÉGLAGE OU LIEN R GRISÉ. RÉGLAGE IMPOSSIBLE. R LIEN R,CAPTEURS DE STATIONNEMENT ARRIÈRE INOPÉRANTS. METTRE À JOUR LE LOGICIEL R LINK VERS 803. EFFECTUER LA CONFIGURATION AUTOMATIQUE. MAINTENANT OK. CONFIRMER LE DÉFAUT. MENU DE RÉGLAGE OU LIEN R GRISÉ. RÉGLAGE IMPOSSIBLE. R LIEN R,adas issue
##,##,TOEPASSEN ACTIS OPLOSSING 10888 (REPROG) & 11023 (ANDROID MARSHMALLOW).,##,##,APPLIQUER ACTIS SOLUTION 10888 (REPROG) & 11023 (ANDROID MARSHMALLOW).,##. ##. APPLIQUER ACTIS SOLUTION 10888 (REPROG) & 11023 (ANDROID MARSHMALLOW).,marshmallow issue
COLLEGAMENTO BBLUETOOTH IMPOSSIBILE,COLLEGAMENTO BBLUETOOTH IMPOSSIBILE,SOLUZIONE ACTIS N. 11023,CONNEXION BLUETOOTH IMPOSSIBLE,CONNEXION BLUETOOTH IMPOSSIBLE,ACTIS SOLUTION N° 11023,CONNEXION BLUETOOTH IMPOSSIBLE. CONNEXION BLUETOOTH IMPOSSIBLE. ACTIS SOLUTION N° 11023,bluetooth
PHONE NOT CONNECTING RADIIO GOES BLANK TOUCHSCREN LOCKED,CONFIRM CONCERN HAS OLD SOFTWARE INSTALLED 2.2.15.703 REF ACTIS 10888 TI 2483,INSTALL LASTEST SOFTWARE 2.2.217.803 REF 283C24686R USB 283C26498RE,LE TÉLÉPHONE NE SE CONNECTE PAS LA RADIO S'ÉCRIT L'ÉCRAN TACTILE VERROUILLÉ,CONFIRMER LE PROBLÈME A INSTALLÉ L'ANCIEN LOGICIEL 2.2.15.703 REF ACTIS 10888 TI 2483,INSTALLER LE DERNIER LOGICIEL 2.2.217.803 REF 283C24686R USB 283C26498RE,LE TÉLÉPHONE NE SE CONNECTE PAS LA RADIO S'ÉCRIT L'ÉCRAN TACTILE VERROUILLÉ. CONFIRMER LE PROBLÈME A INSTALLÉ L'ANCIEN LOGICIEL 2.2.15.703 REF ACTIS 10888 TI 2483. INSTALLER LE DERNIER LOGICIEL 2.2.217.803 REF 283C24686R USB 283C26498RE,marshmallow issue
TELEFONO NN SI COLLEGA,TELEFONO NN SI COLLEGA                            CONFIGURAZ AUTORADIO,CONFIGURAZIONE AUTORADIO CAUSA TELEFONO NN SI COLLEGA.,TÉLÉPHONE NN CONNEXION,TÉLÉPHONE NN CONNEXION CONFIGURATION RADIO,CONFIGURATION RADIO CAUSE TELEPHONE NN CONNECT.,TÉLÉPHONE NN CONNEXION. TÉLÉPHONE NN CONNEXION CONFIGURATION RADIO. CONFIGURATION RADIO CAUSE TELEPHONE NN CONNECT.,bluetooth
SCHERMO SI BLOVVA,RIPROGRAMAZIONE SIST MULTIMEDIALE,1999 configurazione radio,COUPS D'ÉCRAN,REPROGRAMATION DU SYSTÈME MULTIMÉDIA,Configuration radio 1999,COUPS D'ÉCRAN. REPROGRAMATION DU SYSTÈME MULTIMÉDIA. Configuration radio 1999,loss of tactil function on screen
FOUND AT PDI THAT MAPS SHOWING INCORRECT POSITION,"CHECKED AERIAL AND GPS SATELITES RECIEVED AND NO FAULTS,REG UPDATED",CARRIED OUT CONFIGURATION AND REINTILISED AND CONFIRMED NOW CORRECT,TROUVE CHEZ PDI QUE LES CARTES MONTRENT UNE POSITION INCORRECTE,"SATELITES AÉRIENNES ET GPS VÉRIFIÉES REÇUES ET AUCUN DÉFAUT, REG MISE À JOUR",CONFIGURATION EFFECTUEE ET REINTILISEE ET CONFIRMEE MAINTENANT CORRECTE,"TROUVE CHEZ PDI QUE LES CARTES MONTRENT UNE POSITION INCORRECTE. SATELITES AÉRIENNES ET GPS VÉRIFIÉES REÇUES ET AUCUN DÉFAUT, REG MISE À JOUR. CONFIGURATION EFFECTUEE ET REINTILISEE ET CONFIRMEE MAINTENANT CORRECTE",reception issue ( fm am dab gps)
speed cameras not working,CIR AUTH REF: 1-MPO5LJ - check and confirmed R link 2 sat nav RAD72A not showing speed cameras,check setting in navigation - speed limit on and speed alert sound on - speed ca,les radars ne fonctionnent pas,CIR AUTH REF : 1-MPO5LJ - vérifier et confirmer R link 2 sat nav RAD72A ne montrant pas les radars,vérifier le réglage dans la navigation - limite de vitesse activée et son d'alerte de vitesse activé - vitesse ca,les radars ne fonctionnent pas. CIR AUTH REF : 1-MPO5LJ - vérifier et confirmer R link 2 sat nav RAD72A ne montrant pas les radars. vérifier le réglage dans la navigation - limite de vitesse activée et son d'alerte de vitesse activé - vitesse ca,speed reading function issue
NAVEGACION FUERA DE CARTOGRAFI,FALLLO  POSICIONAMIENTO GPS,REPRO R-LINK ( CODECAL XGB7UB) CARGAR MAPAS A TRAVES D USB Y   VARIAS PRUEBAS EN,NAVIGATION HORS CARTOGRAPHIE,DEFAUT DE POSITIONNEMENT GPS,REPRO R-LINK (CODECAL XGB7UB) CARTES DE CHARGEMENT VIA USB ET PLUSIEURS TESTS SUR,NAVIGATION HORS CARTOGRAPHIE. DEFAUT DE POSITIONNEMENT GPS. REPRO R-LINK (CODECAL XGB7UB) CARTES DE CHARGEMENT VIA USB ET PLUSIEURS TESTS SUR,reception issue ( fm am dab gps)
LA PANTALLA R-LING SE HA PARAD,"REPRO R.LINK, APLICAR SOL TECNICA 10888","BUSCAR AVERIAY HACER PRUEBASEN OTRO V,H. REPRO LINK CODECAL OSMRZ1, APLICAR SOL",L'ÉCRAN R-LING S'EST ARRÊTÉ,"REPRO R.LINK, APPLIQUER SOL TECHNIQUE 10888","RECHERCHER LE DÉFAUT ET FAIRE TESTER UN AUTRE V,H. REPRO LINK CODECAL OSMRZ1, APPLIQUER SOL","L'ÉCRAN R-LING S'EST ARRÊTÉ. REPRO R.LINK, APPLIQUER SOL TECHNIQUE 10888. RECHERCHER LE DÉFAUT ET FAIRE TESTER UN AUTRE V,H. REPRO LINK CODECAL OSMRZ1, APPLIQUER SOL",black screen
SINTOMA I203 LA RADIO NO SE PONE EN MARCHA,"CAMBIAR AUTORRADIO, EL NUMERO DE ES: IMWKEP6","SE HACE UN CONTROL CON UTIL DE DIAGNOSTICO E INDICA DTC93D98F, SE CREA UNA Q",SYMPTÔME I203 LA RADIO NE DÉMARRE PAS,"CHANGER AUTORADIO, LE NUMÉRO EST : IMWKEP6","UN CONTRÔLE EST EFFECTUÉ AVEC UN OUTIL DE DIAGNOSTIC ET IL INDIQUE DTC93D98F, UN Q EST CRÉÉ","SYMPTÔME I203 LA RADIO NE DÉMARRE PAS. CHANGER AUTORADIO, LE NUMÉRO EST : IMWKEP6. UN CONTRÔLE EST EFFECTUÉ AVEC UN OUTIL DE DIAGNOSTIC ET IL INDIQUE DTC93D98F, UN Q EST CRÉÉ",wrong designation
